customer_id,age,gender,city,email,age_group
C000104,48,Male,Braga,user104@example.com,Middle-aged (46-60)
C000105,64,Male,Lisbon,user105@example.com,Senior
C000106,18,Male,Faro,user106@example.com,Youth (16-24)
C000107,43,Unknown,Coimbra,user107@example.com,Adult (25-45)
C000108,20,Female,Lisbon,user108@example.com,Youth (16-24)
C000109,56,Male,Porto,user109@example.com,Middle-aged (46-60)
C000110,55,Male,Coimbra,user110@example.com,Middle-aged (46-60)
C000111,33,Female,Coimbra,user111@example.com,Adult (25-45)
C000112,40,Other,Porto,user112@example.com,Adult (25-45)
C000113,38,Other,Braga,user113@example.com,Adult (25-45)
C000114,39,Male,Porto,user114@example.com,Adult (25-45)
C000115,27,Female,Faro,user115@example.com,Adult (25-45)
C000116,39,Female,Faro,user116@example.com,Adult (25-45)
C000117,23,Female,Porto,user117@example.com,Youth (16-24)
C000118,62,Other,Porto,user118@example.com,Senior
C000119,37,Male,Coimbra,user119@example.com,Adult (25-45)
C000120,47,Female,Braga,user120@example.com,Middle-aged (46-60)
C000121,49,Female,Lisbon,user121@example.com,Middle-aged (46-60)
C000122,54,Female,Lisbon,user122@example.com,Middle-aged (46-60)
C000123,42,Female,Braga,user123@example.com,Adult (25-45)
C000124,45,Female,Braga,user124@example.com,Adult (25-45)
C000125,62,Female,Coimbra,user125@example.com,Senior
C000126,21,Other,Lisbon,user126@example.com,Youth (16-24)
C000127,24,Female,Porto,user127@example.com,Youth (16-24)
C000128,69,Female,Faro,user128@example.com,Senior
C000129,65,Other,Coimbra,user129@example.com,Senior
C000130,59,Female,Coimbra,user130@example.com,Middle-aged (46-60)
C000131,65,Male,Coimbra,user131@example.com,Senior
C000132,37,Other,Lisbon,user132@example.com,Adult (25-45)
C000133,28,Other,Coimbra,user133@example.com,Adult (25-45)
C000134,25,Female,Braga,user134@example.com,Adult (25-45)
C000135,30,Female,Lisbon,user135@example.com,Adult (25-45)
C000136,38,Male,Coimbra,user136@example.com,Adult (25-45)
C000137,60,Female,Faro,user137@example.com,Middle-aged (46-60)
C000138,30,Other,Coimbra,user138@example.com,Adult (25-45)
C000139,40,Other,Coimbra,user139@example.com,Adult (25-45)
C000140,52,Other,Lisbon,Unknown,Middle-aged (46-60)
C000141,40,Other,Coimbra,user141@example.com,Adult (25-45)
C000142,17,Male,Coimbra,user142@example.com,Youth (16-24)
C000143,28,Female,Coimbra,user143@example.com,Adult (25-45)
C000144,34,Male,Braga,user144@example.com,Adult (25-45)
C000145,18,Male,Porto,user145@example.com,Youth (16-24)
C000146,19,Female,Porto,user146@example.com,Youth (16-24)
C000147,55,Male,Lisbon,user147@example.com,Middle-aged (46-60)
C000148,39,Female,Lisbon,user148@example.com,Adult (25-45)
C000149,36,Female,Coimbra,user149@example.com,Adult (25-45)
C000150,46,Female,Coimbra,user150@example.com,Middle-aged (46-60)
C000151,38,Other,Braga,user151@example.com,Adult (25-45)
C000152,44,Female,Faro,user152@example.com,Adult (25-45)
C000153,68,Other,Coimbra,user153@example.com,Senior
C000154,43,Male,Porto,user154@example.com,Adult (25-45)
C000155,30,Female,Braga,user155@example.com,Adult (25-45)
C000156,58,Male,Faro,user156@example.com,Middle-aged (46-60)
C000157,18,Male,Coimbra,user157@example.com,Youth (16-24)
C000158,58,Other,Lisbon,user158@example.com,Middle-aged (46-60)
C000159,18,Female,Braga,user159@example.com,Youth (16-24)
C000160,55,Male,Faro,user160@example.com,Middle-aged (46-60)
C000161,46,Male,Braga,user161@example.com,Middle-aged (46-60)
C000162,61,Female,Faro,user162@example.com,Senior
C000163,31,Female,Faro,user163@example.com,Adult (25-45)
C000164,51,Female,Porto,user164@example.com,Middle-aged (46-60)
C000165,64,Female,Braga,user165@example.com,Senior
C000166,19,Other,Faro,user166@example.com,Youth (16-24)
C000167,63,Female,Coimbra,user167@example.com,Senior
C000168,68,Male,Braga,user168@example.com,Senior
C000169,35,Other,Lisbon,user169@example.com,Adult (25-45)
C000170,49,Female,Porto,user170@example.com,Middle-aged (46-60)
C000171,60,Male,Lisbon,user171@example.com,Middle-aged (46-60)
C000172,55,Male,Braga,user172@example.com,Middle-aged (46-60)
C000173,30,Female,Braga,user173@example.com,Adult (25-45)
C000174,43,Male,Lisbon,user174@example.com,Adult (25-45)
C000175,31,Male,Lisbon,user175@example.com,Adult (25-45)
C000176,69,Other,Porto,user176@example.com,Senior
C000177,58,Other,Lisbon,user177@example.com,Middle-aged (46-60)
C000178,58,Other,Coimbra,user178@example.com,Middle-aged (46-60)
C000179,44,Male,Porto,user179@example.com,Adult (25-45)
C000180,53,Other,Faro,user180@example.com,Middle-aged (46-60)
C000181,48,Other,Lisbon,user181@example.com,Middle-aged (46-60)
C000182,54,Other,Lisbon,user182@example.com,Middle-aged (46-60)
C000183,23,Other,Braga,Unknown,Youth (16-24)
C000184,68,Female,Lisbon,user184@example.com,Senior
C000185,48,Other,Lisbon,user185@example.com,Middle-aged (46-60)
C000186,17,Male,Braga,user186@example.com,Youth (16-24)
C000187,20,Female,Coimbra,user187@example.com,Youth (16-24)
C000188,63,Female,Braga,user188@example.com,Senior
C000189,46,Other,Lisbon,user189@example.com,Middle-aged (46-60)
C000190,17,Other,Braga,user190@example.com,Youth (16-24)
C000191,21,Female,Braga,user191@example.com,Youth (16-24)
C000192,40,Male,Lisbon,user192@example.com,Adult (25-45)
C000193,52,Female,Faro,user193@example.com,Middle-aged (46-60)
C000194,61,Other,Lisbon,user194@example.com,Senior
C000195,21,Other,Porto,user195@example.com,Youth (16-24)
C000196,45,Male,Lisbon,user196@example.com,Adult (25-45)
C000197,51,Female,Lisbon,user197@example.com,Middle-aged (46-60)
C000198,66,Female,Faro,user198@example.com,Senior
C000199,41,Female,Coimbra,user199@example.com,Adult (25-45)
C000200,26,Female,Coimbra,user200@example.com,Adult (25-45)
C000201,32,Male,Braga,user201@example.com,Adult (25-45)
C000202,43,Other,Lisbon,user202@example.com,Adult (25-45)
C000203,53,Other,Porto,user203@example.com,Middle-aged (46-60)
C000204,60,Male,Braga,user204@example.com,Middle-aged (46-60)
C000205,49,Other,Braga,user205@example.com,Middle-aged (46-60)
C000206,46,Female,Faro,user206@example.com,Middle-aged (46-60)
C000207,30,Female,Coimbra,user207@example.com,Adult (25-45)
C000208,52,Male,Porto,user208@example.com,Middle-aged (46-60)
C000209,36,Male,Lisbon,user209@example.com,Adult (25-45)
C000210,40,Male,Faro,user210@example.com,Adult (25-45)
C000211,66,Male,Lisbon,user211@example.com,Senior
C000212,65,Male,Lisbon,user212@example.com,Senior
C000213,53,Male,Braga,user213@example.com,Middle-aged (46-60)
C000214,34,Female,Porto,user214@example.com,Adult (25-45)
C000215,40,Other,Faro,user215@example.com,Adult (25-45)
C000216,53,Female,Porto,user216@example.com,Middle-aged (46-60)
C000217,20,Female,Coimbra,user217@example.com,Youth (16-24)
C000218,27,Male,Coimbra,user218@example.com,Adult (25-45)
C000219,65,Male,Coimbra,user219@example.com,Senior
C000220,45,Male,Braga,user220@example.com,Adult (25-45)
C000221,16,Other,Porto,user221@example.com,Youth (16-24)
C000222,28,Male,Porto,user222@example.com,Adult (25-45)
C000223,24,Male,Coimbra,user223@example.com,Youth (16-24)
C000224,45,Female,Faro,user224@example.com,Adult (25-45)
C000225,46,Male,Faro,user225@example.com,Middle-aged (46-60)
C000226,28,Female,Braga,user226@example.com,Adult (25-45)
C000227,17,Female,Porto,user227@example.com,Youth (16-24)
C000228,17,Other,Faro,user228@example.com,Youth (16-24)
C000229,44,Other,Braga,user229@example.com,Adult (25-45)
C000230,61,Male,Porto,user230@example.com,Senior
C000231,64,Female,Porto,user231@example.com,Senior
C000232,68,Female,Coimbra,user232@example.com,Senior
C000233,49,Female,Faro,user233@example.com,Middle-aged (46-60)
C000234,29,Female,Lisbon,user234@example.com,Adult (25-45)
C000235,49,Female,Lisbon,user235@example.com,Middle-aged (46-60)
C000236,52,Female,Braga,user236@example.com,Middle-aged (46-60)
C000237,29,Female,Braga,user237@example.com,Adult (25-45)
C000238,38,Female,Braga,user238@example.com,Adult (25-45)
C000239,61,Male,Braga,user239@example.com,Senior
C000240,61,Male,Faro,user240@example.com,Senior
C000241,24,Male,Braga,user241@example.com,Youth (16-24)
C000242,61,Other,Braga,user242@example.com,Senior
C000243,56,Other,Lisbon,Unknown,Middle-aged (46-60)
C000244,55,Female,Faro,user244@example.com,Middle-aged (46-60)
C000245,67,Male,Lisbon,user245@example.com,Senior
C000246,52,Other,Braga,user246@example.com,Middle-aged (46-60)
C000247,23,Male,Lisbon,user247@example.com,Youth (16-24)
C000248,27,Female,Coimbra,user248@example.com,Adult (25-45)
C000249,46,Female,Lisbon,user249@example.com,Middle-aged (46-60)
C000250,17,Female,Lisbon,user250@example.com,Youth (16-24)
C000251,59,Male,Coimbra,user251@example.com,Middle-aged (46-60)
C000252,60,Male,Porto,user252@example.com,Middle-aged (46-60)
C000253,32,Female,Faro,user253@example.com,Adult (25-45)
C000254,36,Other,Porto,Unknown,Adult (25-45)
C000255,47,Male,Coimbra,user255@example.com,Middle-aged (46-60)
C000256,54,Other,Braga,user256@example.com,Middle-aged (46-60)
C000257,19,Male,Coimbra,user257@example.com,Youth (16-24)
C000258,60,Male,Coimbra,user258@example.com,Middle-aged (46-60)
C000259,53,Male,Faro,user259@example.com,Middle-aged (46-60)
C000260,49,Other,Lisbon,user260@example.com,Middle-aged (46-60)
C000261,42,Male,Coimbra,user261@example.com,Adult (25-45)
C000262,36,Female,Braga,user262@example.com,Adult (25-45)
C000263,33,Male,Lisbon,user263@example.com,Adult (25-45)
C000264,48,Male,Coimbra,user264@example.com,Middle-aged (46-60)
C000265,56,Other,Faro,user265@example.com,Middle-aged (46-60)
C000266,34,Male,Coimbra,user266@example.com,Adult (25-45)
C000267,50,Female,Lisbon,user267@example.com,Middle-aged (46-60)
C000268,45,Female,Lisbon,user268@example.com,Adult (25-45)
C000269,47,Other,Braga,user269@example.com,Middle-aged (46-60)
C000270,47,Other,Porto,user270@example.com,Middle-aged (46-60)
C000271,61,Male,Coimbra,user271@example.com,Senior
C000272,46,Male,Faro,user272@example.com,Middle-aged (46-60)
C000273,23,Male,Braga,user273@example.com,Youth (16-24)
C000274,69,Male,Porto,user274@example.com,Senior
C000275,38,Female,Lisbon,user275@example.com,Adult (25-45)
C000276,68,Male,Braga,user276@example.com,Senior
C000277,65,Female,Lisbon,user277@example.com,Senior
C000278,63,Other,Lisbon,user278@example.com,Senior
C000279,24,Other,Coimbra,user279@example.com,Youth (16-24)
C000280,66,Female,Lisbon,Unknown,Senior
C000281,46,Male,Lisbon,user281@example.com,Middle-aged (46-60)
C000282,31,Female,Faro,user282@example.com,Adult (25-45)
C000283,33,Male,Braga,user283@example.com,Adult (25-45)
C000284,63,Male,Porto,user284@example.com,Senior
C000285,66,Male,Braga,user285@example.com,Senior
C000286,17,Other,Lisbon,user286@example.com,Youth (16-24)
C000287,59,Male,Braga,user287@example.com,Middle-aged (46-60)
C000288,66,Other,Faro,user288@example.com,Senior
C000289,26,Other,Porto,user289@example.com,Adult (25-45)
C000290,65,Male,Lisbon,user290@example.com,Senior
C000291,53,Other,Porto,user291@example.com,Middle-aged (46-60)
C000292,16,Male,Porto,user292@example.com,Youth (16-24)
C000293,40,Other,Porto,user293@example.com,Adult (25-45)
C000294,34,Female,Porto,user294@example.com,Adult (25-45)
C000295,40,Male,Porto,user295@example.com,Adult (25-45)
C000296,30,Male,Porto,user296@example.com,Adult (25-45)
C000297,68,Male,Braga,user297@example.com,Senior
C000298,34,Male,Braga,user298@example.com,Adult (25-45)
C000299,51,Other,Faro,user299@example.com,Middle-aged (46-60)
C000300,17,Other,Braga,user300@example.com,Youth (16-24)
C000301,33,Male,Porto,user301@example.com,Adult (25-45)
C000302,51,Other,Braga,user302@example.com,Middle-aged (46-60)
C000303,33,Male,Coimbra,user303@example.com,Adult (25-45)
C000304,34,Female,Porto,user304@example.com,Adult (25-45)
C000305,67,Male,Lisbon,user305@example.com,Senior
C000306,44,Male,Coimbra,user306@example.com,Adult (25-45)
C000307,55,Other,Braga,user307@example.com,Middle-aged (46-60)
C000308,36,Unknown,Lisbon,user308@example.com,Adult (25-45)
C000309,31,Male,Braga,user309@example.com,Adult (25-45)
C000310,25,Female,Coimbra,user310@example.com,Adult (25-45)
C000311,21,Male,Lisbon,user311@example.com,Youth (16-24)
C000312,28,Male,Porto,user312@example.com,Adult (25-45)
C000313,47,Female,Braga,user313@example.com,Middle-aged (46-60)
C000314,41,Other,Porto,user314@example.com,Adult (25-45)
C000315,21,Male,Faro,user315@example.com,Youth (16-24)
C000316,67,Male,Faro,user316@example.com,Senior
C000317,51,Male,Porto,user317@example.com,Middle-aged (46-60)
C000318,38,Other,Faro,user318@example.com,Adult (25-45)
C000319,20,Other,Lisbon,user319@example.com,Youth (16-24)
C000320,21,Other,Lisbon,user320@example.com,Youth (16-24)
C000321,53,Other,Faro,user321@example.com,Middle-aged (46-60)
C000322,46,Male,Lisbon,user322@example.com,Middle-aged (46-60)
C000323,54,Male,Braga,user323@example.com,Middle-aged (46-60)
C000324,50,Female,Porto,user324@example.com,Middle-aged (46-60)
C000325,69,Male,Faro,user325@example.com,Senior
C000326,61,Male,Braga,user326@example.com,Senior
C000327,54,Female,Coimbra,user327@example.com,Middle-aged (46-60)
C000328,54,Male,Braga,user328@example.com,Middle-aged (46-60)
C000329,37,Other,Coimbra,user329@example.com,Adult (25-45)
C000330,67,Female,Porto,user330@example.com,Senior
C000331,30,Male,Coimbra,user331@example.com,Adult (25-45)
C000332,30,Female,Faro,user332@example.com,Adult (25-45)
C000333,55,Female,Porto,user333@example.com,Middle-aged (46-60)
C000334,52,Female,Braga,user334@example.com,Middle-aged (46-60)
C000335,24,Other,Braga,user335@example.com,Youth (16-24)
C000336,16,Other,Coimbra,user336@example.com,Youth (16-24)
C000337,40,Male,Lisbon,user337@example.com,Adult (25-45)
C000338,18,Female,Coimbra,user338@example.com,Youth (16-24)
C000339,58,Male,Lisbon,user339@example.com,Middle-aged (46-60)
C000340,68,Male,Porto,user340@example.com,Senior
C000341,16,Female,Coimbra,user341@example.com,Youth (16-24)
C000342,68,Male,Coimbra,user342@example.com,Senior
C000343,23,Male,Porto,user343@example.com,Youth (16-24)
C000344,18,Other,Porto,user344@example.com,Youth (16-24)
C000345,16,Male,Porto,user345@example.com,Youth (16-24)
C000346,19,Female,Coimbra,user346@example.com,Youth (16-24)
C000347,57,Other,Faro,user347@example.com,Middle-aged (46-60)
C000348,41,Other,Coimbra,user348@example.com,Adult (25-45)
C000349,30,Female,Porto,user349@example.com,Adult (25-45)
C000350,20,Other,Porto,Unknown,Youth (16-24)
C000351,52,Male,Porto,user351@example.com,Middle-aged (46-60)
C000352,44,Male,Coimbra,user352@example.com,Adult (25-45)
C000353,45,Male,Braga,user353@example.com,Adult (25-45)
C000354,63,Male,Porto,user354@example.com,Senior
C000355,50,Male,Lisbon,user355@example.com,Middle-aged (46-60)
C000356,42,Female,Lisbon,user356@example.com,Adult (25-45)
C000357,47,Female,Braga,user357@example.com,Middle-aged (46-60)
C000358,69,Other,Braga,user358@example.com,Senior
C000359,20,Female,Porto,user359@example.com,Youth (16-24)
C000360,39,Female,Faro,user360@example.com,Adult (25-45)
C000361,24,Male,Coimbra,user361@example.com,Youth (16-24)
C000362,64,Female,Braga,user362@example.com,Senior
C000363,39,Male,Coimbra,user363@example.com,Adult (25-45)
C000364,62,Female,Braga,user364@example.com,Senior
C000365,31,Male,Porto,user365@example.com,Adult (25-45)
C000366,49,Female,Braga,user366@example.com,Middle-aged (46-60)
C000367,43,Female,Coimbra,user367@example.com,Adult (25-45)
C000368,39,Male,Coimbra,user368@example.com,Adult (25-45)
C000369,36,Male,Lisbon,user369@example.com,Adult (25-45)
C000370,45,Female,Faro,user370@example.com,Adult (25-45)
C000371,50,Female,Braga,user371@example.com,Middle-aged (46-60)
C000372,17,Other,Braga,user372@example.com,Youth (16-24)
C000373,22,Male,Faro,user373@example.com,Youth (16-24)
C000374,23,Female,Lisbon,user374@example.com,Youth (16-24)
C000375,58,Female,Porto,user375@example.com,Middle-aged (46-60)
C000376,50,Female,Coimbra,Unknown,Middle-aged (46-60)
C000377,67,Female,Lisbon,user377@example.com,Senior
C000378,49,Other,Lisbon,user378@example.com,Middle-aged (46-60)
C000379,53,Female,Coimbra,user379@example.com,Middle-aged (46-60)
C000380,63,Other,Porto,user380@example.com,Senior
C000381,27,Female,Coimbra,user381@example.com,Adult (25-45)
C000382,41,Male,Braga,user382@example.com,Adult (25-45)
C000383,31,Female,Lisbon,user383@example.com,Adult (25-45)
C000384,19,Female,Lisbon,user384@example.com,Youth (16-24)
C000385,47,Male,Coimbra,user385@example.com,Middle-aged (46-60)
C000386,20,Male,Faro,user386@example.com,Youth (16-24)
C000387,37,Female,Braga,user387@example.com,Adult (25-45)
C000388,16,Female,Coimbra,user388@example.com,Youth (16-24)
C000389,38,Male,Coimbra,user389@example.com,Adult (25-45)
C000390,60,Female,Faro,user390@example.com,Middle-aged (46-60)
C000391,69,Male,Porto,user391@example.com,Senior
C000392,68,Other,Coimbra,user392@example.com,Senior
C000393,67,Other,Lisbon,user393@example.com,Senior
C000394,46,Male,Porto,user394@example.com,Middle-aged (46-60)
C000395,19,Female,Braga,user395@example.com,Youth (16-24)
C000396,45,Female,Faro,user396@example.com,Adult (25-45)
C000397,36,Male,Braga,user397@example.com,Adult (25-45)
C000398,32,Male,Coimbra,user398@example.com,Adult (25-45)
C000399,34,Other,Coimbra,user399@example.com,Adult (25-45)
C000400,41,Other,Coimbra,user400@example.com,Adult (25-45)
C000401,20,Male,Porto,user401@example.com,Youth (16-24)
C000402,48,Other,Porto,user402@example.com,Middle-aged (46-60)
C000403,36,Male,Coimbra,user403@example.com,Adult (25-45)
C000404,23,Male,Porto,user404@example.com,Youth (16-24)
C000405,63,Male,Lisbon,user405@example.com,Senior
C000406,35,Female,Faro,user406@example.com,Adult (25-45)
C000407,45,Female,Lisbon,user407@example.com,Adult (25-45)
C000408,23,Other,Porto,user408@example.com,Youth (16-24)
C000409,60,Male,Braga,user409@example.com,Middle-aged (46-60)
C000410,16,Male,Porto,user410@example.com,Youth (16-24)
C000411,47,Female,Coimbra,user411@example.com,Middle-aged (46-60)
C000412,21,Female,Faro,Unknown,Youth (16-24)
C000413,46,Male,Faro,user413@example.com,Middle-aged (46-60)
C000414,26,Female,Braga,user414@example.com,Adult (25-45)
C000415,42,Male,Coimbra,user415@example.com,Adult (25-45)
C000416,66,Male,Braga,user416@example.com,Senior
C000417,47,Other,Porto,user417@example.com,Middle-aged (46-60)
C000418,65,Female,Coimbra,user418@example.com,Senior
C000419,22,Male,Porto,user419@example.com,Youth (16-24)
C000420,61,Other,Coimbra,user420@example.com,Senior
C000421,45,Male,Coimbra,user421@example.com,Adult (25-45)
C000422,52,Female,Braga,user422@example.com,Middle-aged (46-60)
C000423,51,Female,Faro,user423@example.com,Middle-aged (46-60)
C000424,32,Female,Lisbon,user424@example.com,Adult (25-45)
C000425,50,Male,Braga,user425@example.com,Middle-aged (46-60)
C000426,27,Female,Faro,user426@example.com,Adult (25-45)
C000427,20,Female,Coimbra,user427@example.com,Youth (16-24)
C000428,17,Other,Faro,user428@example.com,Youth (16-24)
C000429,37,Female,Porto,user429@example.com,Adult (25-45)
C000430,61,Other,Braga,user430@example.com,Senior
C000431,37,Male,Lisbon,user431@example.com,Adult (25-45)
C000432,42,Male,Porto,user432@example.com,Adult (25-45)
C000433,22,Female,Braga,user433@example.com,Youth (16-24)
C000434,30,Other,Lisbon,user434@example.com,Adult (25-45)
C000435,23,Male,Braga,Unknown,Youth (16-24)
C000436,25,Other,Braga,user436@example.com,Adult (25-45)
C000437,52,Female,Braga,user437@example.com,Middle-aged (46-60)
C000438,51,Other,Braga,user438@example.com,Middle-aged (46-60)
C000439,54,Male,Braga,user439@example.com,Middle-aged (46-60)
C000440,28,Other,Faro,user440@example.com,Adult (25-45)
C000441,31,Female,Porto,user441@example.com,Adult (25-45)
C000442,68,Female,Faro,user442@example.com,Senior
C000443,63,Other,Lisbon,user443@example.com,Senior
C000444,54,Female,Porto,user444@example.com,Middle-aged (46-60)
C000445,29,Female,Coimbra,user445@example.com,Adult (25-45)
C000446,21,Other,Braga,user446@example.com,Youth (16-24)
C000447,50,Male,Braga,user447@example.com,Middle-aged (46-60)
C000448,34,Female,Faro,user448@example.com,Adult (25-45)
C000449,32,Other,Coimbra,user449@example.com,Adult (25-45)
C000450,30,Other,Braga,user450@example.com,Adult (25-45)
C000451,26,Other,Porto,user451@example.com,Adult (25-45)
C000452,37,Male,Lisbon,user452@example.com,Adult (25-45)
C000453,43,Female,Coimbra,user453@example.com,Adult (25-45)
C000454,48,Female,Coimbra,user454@example.com,Middle-aged (46-60)
C000455,30,Other,Lisbon,user455@example.com,Adult (25-45)
C000456,16,Female,Lisbon,Unknown,Youth (16-24)
C000457,54,Other,Lisbon,user457@example.com,Middle-aged (46-60)
C000458,39,Female,Lisbon,user458@example.com,Adult (25-45)
C000459,21,Male,Braga,user459@example.com,Youth (16-24)
C000460,32,Male,Lisbon,user460@example.com,Adult (25-45)
C000461,62,Other,Braga,user461@example.com,Senior
C000462,47,Female,Braga,user462@example.com,Middle-aged (46-60)
C000463,36,Female,Lisbon,user463@example.com,Adult (25-45)
C000464,49,Other,Faro,user464@example.com,Middle-aged (46-60)
C000465,27,Male,Braga,user465@example.com,Adult (25-45)
C000466,61,Other,Lisbon,user466@example.com,Senior
C000467,66,Female,Braga,user467@example.com,Senior
C000468,19,Other,Coimbra,user468@example.com,Youth (16-24)
